#{"t_start": 1645478932.24288, "env_id": null}
r,l,t
-64.826295,5000,82038.281504
-67.800539,5000,82222.0589
-65.653554,5000,82644.261918
-66.182312,5000,82828.054079
-66.799856,5000,83250.615997
-68.74237,5000,83434.640357
-64.869481,5000,83856.579771
-66.216923,5000,84040.467354
-65.535929,5000,84462.697842
-66.749412,5000,84646.601423
-63.641818,5000,85093.671282
-62.717296,5000,85277.830197
-64.815629,5000,85699.467938
-63.855215,5000,85883.44153
-63.481103,5000,86309.625389
-64.05723,5000,86493.488833
-62.370276,5000,86915.678396
-63.25583,5000,87099.922937
-64.712007,5000,87522.969978
-61.672914,5000,87707.343523
-61.227627,5000,88130.940191
-62.349133,5000,88314.959306
-61.15702,5000,88736.613269
-62.421957,5000,88920.099915
-61.741828,5000,89350.048747
-62.158501,5000,89533.863242
-62.880304,5000,89957.68001
-60.771729,5000,90141.462847
-61.6506,5000,90569.223511
-62.24404,5000,90762.827235
-64.686223,5000,91193.853797
-62.746937,5000,91378.179498
-62.091287,5000,91803.56757
-60.776311,5000,91987.198145
-61.479507,5000,92408.900815
-60.329113,5000,92592.421078
-63.377649,5000,93016.446968
-61.795974,5000,93199.86334
-62.33242,5000,93629.250994
-62.633121,5000,93812.971825
-61.969387,5000,94234.866099
-60.79624,5000,94418.807967
-62.367716,5000,94841.09765
-64.158095,5000,95024.569773
-61.929134,5000,95446.82454
-60.586608,5000,95630.900184
-62.022553,5000,96054.006249
-59.334945,5000,96237.876542
-61.522064,5000,96661.140624
-62.915569,5000,96845.01787
-59.95755,5000,97268.016534
-58.948237,5000,97451.674452
-61.237168,5000,97874.063741
-61.321899,5000,98058.19229
-58.890761,5000,98480.641438
-61.077938,5000,98664.99126
-61.167563,5000,99088.194823
-59.493021,5000,99272.264749
-58.325282,5000,99694.68071
-60.439055,5000,99878.842476
-60.736339,5000,100307.270068
-59.414565,5000,100491.356003
-59.306203,5000,100913.666849
-60.67242,5000,101097.943541
-59.935266,5000,101519.419569
-59.555943,5000,101703.146243
-60.487958,5000,102126.084779
-59.148475,5000,102309.917646
-61.125362,5000,102732.38735
-61.02921,5000,102916.254353
-60.397296,5000,103346.526411
-61.05535,5000,103530.403915
-58.00231,5000,103953.273329
-58.410064,5000,104137.14597
-60.186738,5000,104565.089707
-58.757217,5000,104766.959996
